file_id,source_id,onset_ms,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC533469_5452,533469,5452,16000,26.73,-25.53,0.6250,False
XC544012_20431,544012,20431,16000,4.06,-40.03,0.0544,False
XC544012_41999,544012,41999,16000,7.51,-32.95,0.1966,False
XC544012_5370,544012,5370,16000,5.71,-36.25,0.0984,False
XC544012_54716,544012,54716,16000,5.69,-28.31,0.3126,False
XC544012_59760,544012,59760,16000,6.38,-32.89,0.1583,False
XC544012_67702,544012,67702,16000,4.41,-28.58,0.2063,False
XC544012_7629,544012,7629,16000,6.03,-36.34,0.1149,False
XC544012_77303,544012,77303,16000,5.94,-36.78,0.1188,False
XC544012_9846,544012,9846,16000,5.26,-35.96,0.1482,False
XC555308_1839,555308,1839,16000,8.04,-37.18,0.1110,False
XC555308_18723,555308,18723,16000,3.28,-44.67,0.0470,False
XC555308_31185,555308,31185,16000,8.77,-35.18,0.1384,False
XC555308_34298,555308,34298,16000,5.77,-38.34,0.0906,False
XC555308_38732,555308,38732,16000,9.15,-35.13,0.1694,False
XC555308_4787,555308,4787,16000,6.74,-38.95,0.1369,False
XC555308_6905,555308,6905,16000,7.81,-36.61,0.1427,False
XC555308_75810,555308,75810,16000,9.16,-33.75,0.1644,False
XC555308_87195,555308,87195,16000,4.70,-37.42,0.1020,False
XC555308_90239,555308,90239,16000,9.28,-33.81,0.1742,False
XC571182_2191,571182,2191,16000,8.36,-25.65,0.3530,False
XC571182_7309,571182,7309,16000,5.08,-28.93,0.4571,False
XC571185_15661,571185,15661,16000,12.59,-27.67,0.4815,False
XC571185_26995,571185,26995,16000,10.21,-28.88,0.3487,False
XC571185_39641,571185,39641,16000,6.08,-34.80,0.3508,False
XC571185_41346,571185,41346,16000,9.68,-31.04,0.3520,False
XC571185_47307,571185,47307,16000,9.93,-31.12,0.2707,False
XC571185_4911,571185,4911,16000,7.21,-34.13,0.3067,False
XC571185_61883,571185,61883,16000,9.56,-29.60,0.3372,False
XC571185_7997,571185,7997,16000,7.49,-33.31,0.2910,False
XC571185_86163,571185,86163,16000,5.67,-34.86,0.3313,False
XC583034_13304,583034,13304,16000,7.84,-40.56,0.0935,False
XC583034_18659,583034,18659,16000,9.98,-31.67,0.1913,False
XC583034_4351,583034,4351,16000,13.77,-32.51,0.2392,False
XC583034_68586,583034,68586,16000,9.53,-37.90,0.1128,False
XC583034_73172,583034,73172,16000,13.29,-35.55,0.1523,False
XC583034_83302,583034,83302,16000,10.38,-34.92,0.1683,False
XC583034_86534,583034,86534,16000,9.12,-37.69,0.1490,False
XC583034_92596,583034,92596,16000,10.59,-35.34,0.1770,False
XC591907_11049,591907,11049,16000,4.65,-19.51,0.5476,False
XC591907_14583,591907,14583,16000,4.92,-20.91,0.4503,False
XC591907_24,591907,24,16000,6.93,-17.32,0.7923,False
XC596982_12048,596982,12048,16000,14.36,-25.19,0.7112,False
XC596982_13313,596982,13313,16000,13.48,-25.78,0.7112,False
XC596982_15089,596982,15089,16000,15.24,-23.84,0.7875,False
XC596982_16652,596982,16652,16000,14.67,-24.13,0.7875,False
XC596982_18960,596982,18960,16000,4.44,-33.02,0.2862,False
XC596982_21767,596982,21767,16000,15.20,-26.34,0.5201,False
XC596982_29354,596982,29354,16000,14.61,-25.66,0.4788,False
XC596982_31542,596982,31542,16000,13.04,-26.06,0.4788,False
XC596982_3566,596982,3566,16000,17.91,-21.46,0.8549,False
XC596982_369,596982,369,16000,2.81,-36.21,0.2575,False
XC596983_13540,596983,13540,16000,14.21,-46.04,0.0591,False
XC596983_19962,596983,19962,16000,10.54,-48.37,0.0720,False
XC596983_2131,596983,2131,16000,13.75,-46.86,0.0658,False
